,class,mask,confidence
0,scratch,masks-scratch/202108141528_001_0005_05_07.png,0.5530896820533769
1,scratch,masks-scratch/202108131305_001_0004_04_01.png,0.5347652670777874
2,scratch,masks-scratch/202108141528_001_0005_05_06.png,0.6640127172338884
3,scratch,masks-scratch/202108141528_001_0005_05_04.png,0.5295727694476092
4,scratch,masks-scratch/202108131305_001_0004_04_03.png,0.5317479575552592
5,scratch,masks-scratch/202108131305_001_0004_04_02.png,0.5601136933056422
6,scratch,masks-scratch/202108141528_001_0005_05_05.png,0.5149862425667899
7,scratch,masks-scratch/202108141528_001_0005_05_01.png,0.5123437245686849
8,scratch,masks-scratch/202108131305_001_0004_04_06.png,0.7204760407063102
9,scratch,masks-scratch/202108131305_001_0004_04_07.png,0.5288938483935874
10,scratch,masks-scratch/202108150921_001_0006_06_08.png,0.0
11,scratch,masks-scratch/202108141528_001_0005_05_02.png,0.0
12,scratch,masks-scratch/202108121517_001_0003_03_08.png,0.5475886509081842
13,scratch,masks-scratch/202108131305_001_0004_04_05.png,0.0
14,scratch,masks-scratch/202108131305_001_0004_04_04.png,0.5076131693522136
15,scratch,masks-scratch/202108141528_001_0005_05_03.png,0.5672597028891737
16,scratch,masks-scratch/202108101052_001_0001_01_06.png,0.0
17,scratch,masks-scratch/202108111042_001_0002_02_05.png,0.528175048828125
18,scratch,masks-scratch/202108111042_001_0002_02_04.png,0.5158705504044242
19,scratch,masks-scratch/202108101052_001_0001_01_07.png,0.5325225909967073
20,scratch,masks-scratch/202108101052_001_0001_01_05.png,0.5131257837468928
21,scratch,masks-scratch/202108111042_001_0002_02_06.png,0.5551474395138254
22,scratch,masks-scratch/202108111042_001_0002_02_07.png,0.5159838795661926
23,scratch,masks-scratch/202108101052_001_0001_01_04.png,0.5256257810090718
24,scratch,masks-scratch/202108111042_001_0002_02_03.png,0.0
25,scratch,masks-scratch/202108111042_001_0002_02_02.png,0.5857036262158527
26,scratch,masks-scratch/202108101052_001_0001_01_01.png,0.5148565952594464
27,scratch,masks-scratch/202108101052_001_0001_01_03.png,0.6039102540674877
28,scratch,masks-scratch/202108111042_001_0002_02_01.png,0.5775632696636652
29,scratch,masks-scratch/202108101052_001_0001_01_02.png,0.5826012318528543
30,scratch,masks-scratch/202108101052_001_0001_01_08.png,0.0
31,scratch,masks-scratch/202108111042_001_0002_02_08.png,0.0
32,scratch,masks-scratch/202108121517_001_0003_03_04.png,0.5102024714152018
33,scratch,masks-scratch/202108150921_001_0006_06_06.png,0.5311868140038024
34,scratch,masks-scratch/202108131305_001_0004_04_08.png,0.5259622356848802
35,scratch,masks-scratch/202108150921_001_0006_06_07.png,0.0
36,scratch,masks-scratch/202108121517_001_0003_03_05.png,0.0
37,scratch,masks-scratch/202108121517_001_0003_03_07.png,0.0
38,scratch,masks-scratch/202108150921_001_0006_06_05.png,0.5459806208024945
39,scratch,masks-scratch/202108150921_001_0006_06_04.png,0.5430129644438977
40,scratch,masks-scratch/202108121517_001_0003_03_06.png,0.5852052623357331
41,scratch,masks-scratch/202108121517_001_0003_03_02.png,0.0
42,scratch,masks-scratch/202108141528_001_0005_05_08.png,0.5349134776903235
43,scratch,masks-scratch/202108150921_001_0006_06_01.png,0.0
44,scratch,masks-scratch/202108121517_001_0003_03_03.png,0.0
45,scratch,masks-scratch/202108121517_001_0003_03_01.png,0.0
46,scratch,masks-scratch/202108150921_001_0006_06_03.png,0.0
47,scratch,masks-scratch/202108150921_001_0006_06_02.png,0.0
